芯片,31857
半导体,11861
器件,12452
处理器,10741
嵌入式,11513
电压,11512
fpga,13992
电路,9027
硬件,8696
传感器,6793
IP,7871
封装,8141
控制,8132
智能手机,5703
embedded,8389
IC,7954
电流,7919
电源,7510
视频,7102
通信,7139
component,7322
FPGA,0
低功耗,6220
LED,3898
英特尔,2787
电池,5401
功率,5677
功耗,5653
DSP,4508
控制器,5153
iPhone,4086
三星,2689
服务器,4010
CPU,4101
ARM,3165
存储,4202
联网,4505
开关,4366
模拟,4315
LTE,3374
USB,3727
快充,3987
充电,3751
时钟,3857
amp,3935
基站,3576
存储器,3437
集成电路,2832
高通,1831
射频,3484
以太网,3305
音频,3317
驱动,3483
负载,3465
TI,2765
总线,3355
内核,3342
光纤,2795
MCU,3945
操作系统,2972
华为,1669
SoC,2789
LCD,2468
面板,2786
单片机,2559
微控制器,2708
SCDMA,3116
移动通信,2899
转换器,2884
RF,2961
闪存,2671
电容,2903
天线,2707
WiMAX,982
平板电脑,2140
内存,2538
放大器,2472
GSM,2113
电阻,2479
驱动器,2327
蓝牙,1771
增益,2332
Linux,1690
联发科,973
CDMA,1756
寄存器,2232
摄像头,2139
供电,2237
滤波器,2010
显示器,1952
纳米,2180
WCDMA,1532
MOSFET,1572
意法半导体,893
数据中心,1754
自动化,1891
AMD,913
芯片组,2010
ADC,1570
汽车电子,1434
台积,1978
IBM,1242
数字电视,1397
车载,1927
诺基亚,1147
连接器,1620
脉冲,1884
LG,1559
CMOS,1448
二极管,1771
PWM,1657
RFID,846
光电,1817
晶圆,1671
OEM,1739
单芯片,1748
智能家居,1098
机顶盒,1314
电源管理,1399
GPU,1294
电机,1662
PCB,1417
频谱,1677
显示屏,1579
人工智能,666
电动汽车,873
云计算,946
网关,1586
数据传输,1606
OLED,730
VR,971
光伏,986
消费电子,1450
IPTV,812
mcu,0
索尼,1107
RAM,1531
系统设计,1552
主机,1561
嵌入式系统,1278
dsp,0
载波,1537
收发器,1480
晶片,1446
NAND,1267
无线通信,1395
示波器,1032
接入网,1433
MEMS,813
无线网络,1329
笔记本电脑,1365
IEEE,1363
基带,1405
晶体管,1309
DRAM,792
路由器,1202
ST,1366
解码,1402
Flash,1976
电路板,1353
PCI,1300
爱立信,1127
电平,1375
电路设计,1358
电感,1321
ASIC,1036
移动互联,1306
ADI,631
东芝,712
CAN,1085
英飞凌,659
Altera,884
数据采集,1085
数据库,1019
新能源汽车,775
恩智浦,705
WLAN,832
WiFi,1095
手机芯片,1063
接收器,1218
串口,1234
稳压器,1120
MIMO,883
摩托罗拉,865
相位,1236
骁龙,1181
阻抗,1214
智能化,1164
宽带接入,1159
测试系统,1194
触摸屏,1007
IDC,978
